siruta,lhdi_2018_pred
94107.0,45.8
93995.0,44.9
65681.0,65.7
174511.0,33.7
19007.0,51.0
125757.0,31.9
170097.0,29.4
53489.0,48.0
68048.0,32.6
126503.0,39.9
79157.0,40.6
100852.0,43.6
13668.0,61.0
94269.0,35.6
111097.0,24.5
66955.0,32.5
172457.0,55.1
66401.0,45.3
128962.0,31.7
179800.0,46.8
100736.0,57.5
130231.0,32.7
170444.0,45.8
82779.0,43.3
180064.0,-3.54784972042e-13
67648.0,47.5
18581.0,46.0
68789.0,39.9
82617.0,65.5
171101.0,39.1
79077.0,43.2
100683.0,65.5
79497.0,43.4
92907.0,43.1
101243.0,31.5
112664.0,40.4
65707.0,43.9
126772.0,34.5
17824.0,54.7
94045.0,35.5
133508.0,65.9
110063.0,50.1
132226.0,50.2
110875.0,41.0
92765.0,48.5
136250.0,52.7
53853.0,43.3
94688.0,44.1
127411.0,20.7
100754.0,38.1
93209.0,39.8
93717.0,53.7
94429.0,44.7
105794.0,40.4
81656.0,44.8
179935.0,47.6
133429.0,38.9
174290.0,36.0
69170.0,52.0
171879.0,69.2
67167.0,37.0
100709.0,60.2664845551
67014.0,48.5
103283.0,59.0
13276.0,80.2
135431.0,49.9
68280.0,53.1
16757.0,59.4
180046.0,36.5
179971.0,36.9
82733.0,51.3
100870.0,35.3
67470.0,47.1
113625.0,30.1
80506.0,44.2
173855.0,32.1
173132.0,41.8
135850.0,45.6
169547.0,39.4
81264.0,44.3
93646.0,45.7
128882.0,26.8
18028.0,54.6
67292.0,40.2
170168.0,32.5
78604.0,44.8
82047.0,40.8
134942.0,53.5
13757.0,67.8
111685.0,38.3
80249.0,42.2
103960.0,39.5
66198.0,54.5
54387.0,43.5
110688.0,36.1372489202
80043.0,42.3
69250.0,57.8
81816.0,48.3
135146.0,43.8
82831.0,41.9
136241.0,50.9
66580.0,41.7
44435.0,41.5
132681.0,53.2
170872.0,35.9
42824.0,39.6
42968.0,35.1
129503.0,17.8872298693
79585.0,49.5
46910.0,52.1
54163.0,29.6
49439.0,40.1
18242.0,52.1
129914.0,25.8
112263.0,31.0
15554.0,17.0
113698.0,45.1
53513.0,50.5
135020.0,47.3
82243.0,43.1
78141.0,59.2
133018.0,41.9
80846.0,58.0
171806.0,40.3
130712.0,72.4
66731.0,60.6
43812.0,43.6
172947.0,37.7
133090.0,43.1
66474.0,54.2
170685.0,46.0
130552.0,63.8
134194.0,50.8
65501.0,67.8
46867.0,40.1
78828.0,68.3
132379.0,47.9
170514.0,57.6
54109.0,45.2
42842.0,41.6
52570.0,49.3
67675.0,44.5
130892.0,63.8
14085.0,52.7
172279.0,28.8
78454.0,65.3
48138.0,47.0
67407.0,52.8
15652.0,22.5
80613.0,40.4
79004.0,55.9
53700.0,51.9
65342.0,67.6
19392.0,22.2
170792.0,40.3
170346.0,42.4
51305.0,47.1
172698.0,32.6
172581.0,44.9
130614.0,61.8
47578.0,36.6
50564.0,50.4
133394.0,46.0
173374.0,36.3
67737.0,58.3
45496.0,35.9
172992.0,36.7
173686.0,43.0
68002.0,40.4
169404.0,21.3
131933.0,55.3
79656.0,48.2
80711.0,35.9
48744.0,42.4
67595.0,58.2
112959.0,35.4191969014
53345.0,55.3
80365.0,42.9
13301.0,76.1
110296.0,38.3
15108.0,61.7
168372.0,58.6
132752.0,45.6
44863.0,44.3
135896.0,53.4
65431.0,63.4
50923.0,58.5
133214.0,58.4
169994.0,45.8
65379.0,65.9
16132.0,32.1
135949.0,62.3
132075.0,72.4
14352.0,52.4
17209.0,54.7
65477.0,53.4
65413.0,55.9
78016.0,57.9
80123.0,46.6
65841.0,61.2
53103.0,48.3
47159.0,47.5
44328.0,36.6
78329.0,59.7
171628.0,42.8
79406.0,51.9
17101.0,58.7
172377.0,40.1
130785.0,62.9
68324.0,50.1
133161.0,58.9
68921.0,42.9
168602.0,48.7
47300.0,40.7
131620.0,62.1
47774.0,41.2
49046.0,45.3
169182.0,45.6
112995.0,37.5
16365.0,59.7
49545.0,43.1
19338.0,54.2
67522.0,40.3
82396.0,47.3
16285.0,46.4
17423.0,44.6
14726.0,48.5
53023.0,53.6
130847.0,82.1
80427.0,55.2
53274.0,48.0
78472.0,49.9
133330.0,63.6
131443.0,58.3
171469.0,42.0
169896.0,46.6
179640.0,54.1
133278.0,46.5
66009.0,58.5
46803.0,42.8
49153.0,36.8
51948.0,55.4
134390.0,60.4
81861.0,47.9
132510.0,51.3
77910.0,60.8
53675.0,56.9
43411.0,48.4
130981.0,70.7
51387.0,48.0
81497.0,32.1
52115.0,45.9
17913.0,40.6511778243
168791.0,64.0
65869.0,40.3
171325.0,60.0
133688.0,53.9
18778.0,57.7
169039.0,40.6
171995.0,50.8
66526.0,52.0
109924.0,51.8
53069.0,47.2393132587
44300.0,48.3
46251.0,38.8
133722.0,47.5
20055.0,43.2
167641.0,66.7
69063.0,52.2
54573.0,41.6
14165.0,53.3
171067.0,54.7
173533.0,49.9
77812.0,66.8
133615.0,43.3
81415.0,38.7
78668.0,60.3
46484.0,46.4
132459.0,47.2
179908.0,29.7
49849.0,46.6
132315.0,72.0
132716.0,49.1
65921.0,61.7
69447.0,40.0
172340.0,59.6
15901.0,48.0
45815.0,35.4
78748.0,53.2
46769.0,57.6
110027.0,39.6
15493.0,49.0
49625.0,45.8
135681.0,42.7784158011
132271.0,52.8
69526.0,53.9
133866.0,37.6952661944
171272.0,46.2
42771.0,38.7
80677.0,66.1
78873.0,46.3
135164.0,66.7
81754.0,43.2
42753.0,57.6
134443.0,50.3
52721.0,37.9
65609.0,60.3
79362.0,46.8
78542.0,46.3
132011.0,44.4
51573.0,54.8
173935.0,42.8
69394.0,49.9
16659.0,40.7
136198.0,44.8
47854.0,31.7
134899.0,54.0
133562.0,53.1
173061.0,48.1
170220.0,20.0
43313.0,58.2
66223.0,37.5
134336.0,48.7
17254.0,55.9
78089.0,63.9
172082.0,58.0
13622.0,64.0
51118.0,53.5
67942.0,46.1
135789.0,57.7
131256.0,70.1
52160.0,24.5
50889.0,42.1
179917.0,33.3
45619.0,39.4
19999.0,44.3
53327.0,45.8060661127
135244.0,37.7
53130.0,46.7
49019.0,38.5
132841.0,53.8011855447
48487.0,46.3
47453.0,55.9
19249.0,41.5
44818.0,66.7
49073.0,42.0
66438.0,55.9
17851.0,57.5
54500.0,46.9
131835.0,58.0
133919.0,34.4
136134.0,48.9
14673.0,48.4
168880.0,62.7
131899.0,55.3
135404.0,48.2
69303.0,42.0
52035.0,45.1901962734
44177.0,56.4
132645.0,41.0
18670.0,54.7
135501.0,43.6
131817.0,69.2
53577.0,47.4
15402.0,37.8
66330.0,48.9
19695.0,65.5
52990.0,54.7
135128.0,18.7
49956.0,48.1
19631.0,53.7
169351.0,61.0
134755.0,45.9
131988.0,46.4
43466.0,38.4
16454.0,63.2
17968.0,45.6
68565.0,40.8
172812.0,39.4986669633
15313.0,33.4
168559.0,47.2
47373.0,54.9
135547.0,49.4
132137.0,36.9
68404.0,53.9
17334.0,37.0
135654.0,55.3
46377.0,45.9
132486.0,45.1
132404.0,65.6
135725.0,52.3
49643.0,40.2
16551.0,45.1
52954.0,45.5974673807
46313.0,44.0
49206.0,53.5
19141.0,41.9
171539.0,45.2
131577.0,53.7
81184.0,52.7
13819.0,58.3
43652.0,43.7
81095.0,44.9
50102.0,55.8
51804.0,52.3
68716.0,47.1
14922.0,48.7
44140.0,37.6
54305.0,44.0
45753.0,36.4
44257.0,28.9
47337.0,46.2
44989.0,41.0
15448.0,46.8
50549.0,65.1
43117.0,34.8
50326.0,33.0
51243.0,45.0
48771.0,46.3
81987.0,41.7
132896.0,53.5
13999.0,39.5
82136.0,58.2
168041.0,58.9
131336.0,61.6
167909.0,67.7
15830.0,46.6
168675.0,55.2
54270.0,43.2
174021.0,51.9
54056.0,43.8
172894.0,51.5
134648.0,45.7
44560.0,68.0
132342.0,46.5
80908.0,39.2
135618.0,43.0
18858.0,47.5
15741.0,51.0
14753.0,57.6
50479.0,38.2
79308.0,58.5
43242.0,41.3
45334.0,50.9
46830.0,51.3
46019.0,48.0
81380.0,45.9
79834.0,45.2
48557.0,49.7
53167.0,54.7
45101.0,60.4
43732.0,39.7
52696.0,49.3
133795.0,53.2
135226.0,60.5
46554.0,29.7
44934.0,39.3
45361.0,53.9
157781.0,64.8
48325.0,52.2
131540.0,81.9
50415.0,43.1
48922.0,45.0
50022.0,53.1
160047.0,61.1110090855
43698.0,39.9
51546.0,25.6
54350.0,48.7
50987.0,58.5370094277
16472.0,42.3
14405.0,35.8
50790.0,62.6
87219.0,50.6
45888.0,32.4019374724
68182.0,59.9
48021.0,35.044420453
136278.0,40.5
46439.0,43.7186883437
87175.0,54.3
48968.0,36.6
45003.0,45.9
47818.0,42.909994098
174496.0,34.5409529901
172509.0,31.7
47006.0,43.7
13891.0,48.2
44391.0,58.7
45389.0,37.0
156669.0,58.3
49313.0,31.8
54412.0,43.4
47417.0,42.2828409784
136107.0,58.1
53425.0,47.0
51626.0,58.9
46108.0,38.2994715779
155458.0,65.8
13524.0,47.0
48165.0,39.2138489872
45539.0,40.6
47916.0,49.2
130954.0,72.6
50969.0,58.1
52758.0,63.3
175590.0,41.7
16908.0,63.9
132574.0,44.2
51010.0,62.2
40991.0,66.4943546391
160458.0,40.1
49769.0,42.5
51500.0,52.9
134096.0,57.3
16329.0,62.817438034
50228.0,41.3
40303.0,86.5
175206.0,40.3
49233.0,30.7
157273.0,52.4
87246.0,45.4
53247.0,51.3
159366.0,52.9
157086.0,52.2
54699.0,55.8244424041
45673.0,32.7
41471.0,69.9
91054.0,49.6
40633.0,79.6
159400.0,52.5
50068.0,26.120705564
176613.0,45.2
168755.0,38.8
177600.0,33.8
53639.0,56.0
76585.0,59.5
175439.0,41.0
159339.0,63.1
172153.0,39.6
18554.0,40.1
18527.0,64.2
54617.0,59.9
53210.0,62.0
175938.0,48.4
177986.0,41.3
14049.0,56.4
17771.0,40.2
51332.0,45.4
51207.0,60.9
178901.0,50.2
91624.0,60.7
157004.0,53.9
76996.0,48.2
52936.0,62.2
45245.0,16.0
176301.0,48.9
159035.0,53.2
53372.0,60.1
54537.0,58.2
91232.0,46.0
89348.0,50.8
47630.0,34.8
76353.0,50.4
47186.0,33.9
176551.0,26.8
157424.0,55.1
75098.0,63.4
176855.0,37.9
40492.0,61.7
42183.0,49.9
146021.0,57.8
145382.0,60.3924406411
156357.0,56.4
157923.0,60.5
145934.0,63.8
41621.0,55.9
90725.0,45.6
40438.0,61.9
157317.0,55.5
42398.0,64.0
178475.0,26.9
177726.0,48.7
42003.0,61.5
178821.0,36.6
175509.0,23.3
40688.0,36.2
176748.0,48.1
53728.0,51.8
145827.0,66.5
174824.0,53.1
157497.0,59.2
145355.0,63.3
159525.0,42.6
145471.0,74.2
42472.0,38.6
157031.0,57.0
159446.0,58.9
90119.0,50.2588166701
156623.0,58.2
88644.0,45.9
40214.0,82.2
156534.0,51.2
76969.0,46.7
175732.0,41.5
157898.0,60.7
42449.0,58.9
40465.0,60.5
177263.0,22.6
155403.0,65.7
41925.0,87.9
86936.0,58.1
89026.0,47.883880352
158449.0,57.9
63580.0,54.4
176944.0,31.7
158065.0,68.6
63633.0,43.9
158779.0,76.0
174780.0,53.4
144535.0,67.5
41346.0,58.4
41667.0,71.0
76558.0,43.1
174744.0,65.9
90342.0,54.6
178929.0,50.1
178689.0,41.9
40241.0,65.4
143735.0,72.2
41113.0,65.9
156311.0,56.6
63553.0,57.9602155829
156106.0,62.2
178965.0,27.5
145202.0,61.3
63937.0,35.1
155314.0,87.7
175126.0,21.2
42464.0,66.8
159142.0,51.9
41738.0,66.7
155350.0,65.5
42480.0,72.6
76282.0,44.4
64238.0,56.8
158243.0,59.6
144054.0,62.4
158699.0,74.1
155957.0,49.3
175019.0,58.8
47079.0,35.9
40606.0,71.2
145293.0,52.9
87424.0,55.4
41854.0,61.1
143487.0,73.8
177101.0,34.3
65011.0,47.6
145907.0,57.9
156927.0,53.8
157834.0,82.0
175466.0,40.5
42101.0,70.2
156473.0,65.1
143959.0,66.7
159516.0,71.0
144508.0,64.3
145275.0,57.9
42236.0,65.6
40928.0,58.0
176506.0,51.5
90262.0,48.4
156277.0,57.3
158895.0,49.0
177003.0,24.5
64639.0,48.1
159375.0,55.3
145792.0,74.4
64773.0,48.7
159071.0,52.9
176891.0,32.2
42307.0,64.3
64005.0,45.0
63526.0,66.1
76718.0,40.5
88216.0,51.349852629
176686.0,38.5
155797.0,64.4
155289.0,85.9
41417.0,66.0
158136.0,59.7
40278.0,62.0
158564.0,72.5
65099.0,47.1
64942.0,27.7
41818.0,62.8
145499.0,66.1
155243.0,76.4
158966.0,56.1
41578.0,60.9
64390.0,40.2
63394.0,70.7
156767.0,60.2
86749.0,62.7298391003
145408.0,52.5
4482.0,51.2
156589.0,51.5
144893.0,53.5737752735
155546.0,57.0
175368.0,42.4
7099.0,56.3
178750.0,25.5
156213.0,54.7
77536.0,33.8
64568.0,41.3
143851.0,65.2
41382.0,45.0
144928.0,65.9
178313.0,44.4
155840.0,52.8
4106.0,55.9
65048.0,45.0
145765.0,70.5
157193.0,55.8
158396.0,70.7
65113.0,59.0
178180.0,45.0
145140.0,47.5
157246.0,78.0
91982.0,57.9
157736.0,51.0
145998.0,41.9
63866.0,38.0
40857.0,49.5
178910.0,43.1
175224.0,36.3
159428.0,56.7
89954.0,53.4
143922.0,61.8
144456.0,58.6
144866.0,58.6157338934
7044.0,54.6
156801.0,53.2
6217.0,53.0
42076.0,57.3
158314.0,62.5
9019.0,53.5
7810.0,60.9
64318.0,45.5
155911.0,70.3
64345.0,47.9
40526.0,38.9
64130.0,42.4
65147.0,43.4459734723
178377.0,41.6
75258.0,54.7
178885.0,34.5
145603.0,64.3
143888.0,58.4
155662.0,48.4798966273
157585.0,49.8
158653.0,75.9
64906.0,47.3
144795.0,58.2
158181.0,62.6
158608.0,50.4756578664
4268.0,58.4830304078
63777.0,48.8
178545.0,38.1
64602.0,42.0
41177.0,54.8
144964.0,51.5
156437.0,58.2
89856.0,55.7
1874.0,70.5
157969.0,46.3777649601
42156.0,44.7
63893.0,43.6
156151.0,54.9236106441
41541.0,43.5
89240.0,49.5
159464.0,66.0
145042.0,54.9
64194.0,50.7
77509.0,39.8
4240.0,57.1
89080.0,43.9803456393
10006.0,52.4
177799.0,39.9
63740.0,67.2
156035.0,58.5310915428
178117.0,49.1
159419.0,59.6
145667.0,61.7
64504.0,48.2
41284.0,58.0
158528.0,63.6
3841.0,59.6803143792
7945.0,56.3
159393.0,55.3
143682.0,62.7
3397.0,57.7980328918
88546.0,46.7
144232.0,46.8
8826.0,60.6
158010.0,68.5
158859.0,56.3
157530.0,59.2
65139.0,47.8
177405.0,39.1
177762.0,46.4
9887.0,45.4
144651.0,45.8
159507.0,54.3
177352.0,37.7
159473.0,60.4
177236.0,32.7
176150.0,43.3
12402.0,54.045675625
6930.0,47.9
89687.0,37.1
3761.0,60.7780933242
145738.0,68.5
175670.0,42.8
145961.0,65.7
40394.0,66.3
159213.0,64.9
88092.0,43.8
1071.0,72.3
64096.0,49.5
167311.0,26.8
157683.0,58.2
144116.0,65.4
3805.0,54.9
145104.0,60.6
2988.0,49.4
41248.0,60.9
178894.0,29.3
6164.0,49.7150473057
159482.0,56.5
10765.0,43.4
92097.0,42.8524729052
64871.0,49.5
143771.0,59.9
65121.0,47.7
144991.0,63.1
177557.0,32.9
177879.0,32.7
158109.0,65.7
12643.0,60.0
83428.0,80.3
12144.0,53.0
64826.0,50.8
77028.0,39.6
92177.0,43.1
12778.0,58.2
8354.0,57.7
143646.0,61.3
12572.0,40.4
12920.0,57.7
7384.0,64.5
88868.0,38.9
40768.0,53.9
23449.0,39.9
26029.0,29.9
64461.0,57.8
4188.0,59.6
144349.0,56.3
11842.0,47.3
174860.0,54.6
9280.0,65.2
85243.0,42.8
143619.0,68.6
5577.0,49.6
143995.0,63.1
166529.0,51.0
64719.0,49.0
176445.0,24.0
5700.0,62.8
64997.0,46.7
63802.0,44.5
162559.0,20.0
11940.0,51.4
155528.0,72.2
1348.0,67.7
175787.0,37.4
84380.0,43.2
10104.0,50.5
159455.0,53.2
156712.0,59.0
4142.0,61.6
158733.0,52.5
166770.0,29.7
1936.0,55.8
86446.0,47.8
23797.0,46.5
86222.0,40.0
8096.0,62.5
88788.0,29.6
21720.0,50.5
10872.0,55.2
144303.0,59.6
21560.0,46.4
146012.0,64.3
155724.0,58.2
164543.0,36.7
144553.0,65.8
24524.0,49.2
91795.0,43.2
143806.0,66.0
167231.0,23.8
20670.0,31.7
156259.0,58.7
64041.0,43.7
24276.0,40.9
20910.0,60.6
144615.0,62.9
10239.0,51.2
10514.0,53.4
4366.0,65.6
144152.0,56.5
3958.0,48.3
116493.0,62.1
12037.0,62.8
6547.0,56.8
85840.0,46.0
114514.0,66.1
9333.0,72.3
161794.0,56.8
4008.0,37.8
5103.0,61.1
12206.0,60.2
86519.0,45.8
4981.0,52.8988190675
7767.0,56.8
86487.0,50.0
85582.0,50.1
167268.0,22.9
9397.0,70.1
85056.0,49.4
85127.0,56.2
87745.0,49.7
1151.0,55.6
83525.0,62.9
25825.0,46.0
7865.0,63.1
9262.0,73.1
3459.0,46.6
163789.0,32.2
114603.0,65.3
164981.0,32.4
23948.0,32.5
84923.0,45.5
85680.0,60.1
20965.0,62.0
5210.0,54.0
9743.0,56.0
84629.0,39.6
5826.0,55.4821291483
22834.0,36.8
83197.0,57.2
11637.0,42.9
88350.0,37.5
24034.0,32.9
10417.0,52.8
83133.0,72.2
120218.0,43.7
11762.0,45.1
91447.0,43.6
9360.0,65.7
9627.0,61.9
6761.0,47.4
12457.0,49.6
11584.0,59.1
167179.0,41.2
118469.0,48.8
86479.0,61.3
4703.0,46.7
165274.0,42.7
88920.0,29.7532798012
1213.0,64.3
166137.0,32.6
12876.0,65.3
21971.0,27.5
83151.0,52.7
6397.0,53.3637143128
22237.0,24.5
120174.0,50.4026747476
86501.0,47.9
7446.0,35.6
115307.0,53.0
4302.0,43.6
85467.0,44.2
6627.0,51.7604711378
116938.0,59.5
12368.0,57.4
10293.0,57.5
120343.0,47.5
163057.0,12.7
162327.0,33.4
11352.0,52.8
83320.0,72.7
115771.0,47.6418741997
12509.0,50.4
11058.0,46.8
118209.0,49.8
11174.0,40.8
9654.0,63.8
85984.0,45.3
24766.0,40.5
163832.0,39.4
116171.0,43.9
8425.0,43.5
83847.0,45.7
83981.0,49.5
167286.0,32.4
165416.0,16.5
5755.0,62.0
12288.0,55.1449593765
12689.0,41.0
116395.0,51.4
86461.0,49.7
119661.0,66.6
5167.0,52.5
83749.0,54.5
21855.0,37.7
2915.0,49.1
12912.0,54.0
163903.0,34.9
85626.0,51.5
115236.0,57.8
6271.0,21.5
83963.0,59.9
21418.0,26.1
22665.0,37.4
116796.0,51.5
166707.0,30.3
24187.0,37.2
2577.0,7.9
10051.0,53.5
10701.0,47.9
6976.0,44.2
162194.0,30.2
10943.0,53.2
12091.0,64.6
8229.0,37.1
20821.0,60.1
1794.0,59.4
6048.0,55.5
5336.0,49.7
23289.0,35.3
22460.0,35.6
5309.0,55.5
11995.0,60.5
23494.0,28.9
119331.0,59.2
22941.0,29.5
8158.0,53.7
9495.0,67.2
164339.0,26.2
86495.0,43.1
26118.0,26.3
84415.0,59.3
11502.0,56.4
84264.0,48.0
28193.0,59.2
12812.0,54.3
119466.0,59.2
28889.0,52.2
6592.0,56.1
114970.0,56.3
10195.0,55.4
25148.0,31.6
84825.0,50.7
118575.0,47.7
11398.0,56.6
86438.0,51.0
12340.0,56.4
24631.0,45.4
116439.0,50.0
117827.0,61.1
1455.0,55.2
162498.0,31.7
3039.0,44.9
27007.0,49.6
6468.0,29.9
2130.0,39.4
167222.0,27.5
119894.0,65.5
115824.0,58.6
118511.0,51.0
165817.0,37.1
10649.0,59.1
58311.0,65.9
11307.0,63.914065639
162693.0,20.8
117042.0,34.4
11478.0,60.6762030034
116046.0,57.9
166672.0,37.0
84237.0,55.4
26920.0,53.3
162791.0,24.7
21338.0,38.2
114710.0,63.0
165470.0,20.2
6119.0,39.3431872172
9538.0,65.1
162069.0,20.0
83785.0,30.6
167035.0,38.8
84175.0,42.2
21098.0,44.2
86366.0,34.5
23387.0,46.7
163137.0,36.8
7197.0,33.1
117925.0,71.2
4767.0,34.0
84754.0,48.3
55357.0,63.5
120478.0,31.3
28709.0,55.7
29948.0,58.9
26840.0,49.6
25521.0,20.0
118281.0,57.2
9832.0,62.0
25629.0,37.6
4525.0,38.3
